solvent_num_id,comp_num_id,inchi_key,common_name,formula,n_blocks_as_solvent
GLOBsolvent_49,GLOBcomp_133,ZHNUHDYFZUAESO-UHFFFAOYSA-N,formamide,CH3NO,51
GLOBsolvent_50,GLOBcomp_20,BTANRVKWQNVYAZ-UHFFFAOYSA-N,butan-2-ol,C4H10O,50
GLOBsolvent_51,GLOBcomp_312,KMTRUDSVKNLOMY-UHFFFAOYSA-N,ethylene carbonate,C3H4O3,50
GLOBsolvent_52,GLOBcomp_191,AUHZEENZYGFFBQ-UHFFFAOYSA-N,"1,3,5-trimethylbenzene",C9H12,48
GLOBsolvent_53,GLOBcomp_96,MVPPADPHJFYWMZ-UHFFFAOYSA-N,chlorobenzene,C6H5Cl,47
GLOBsolvent_54,GLOBcomp_50,INDFXCHYORWHLQ-UHFFFAOYSA-N,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,C10H15F6N3O4S2,45
GLOBsolvent_55,GLOBcomp_422,BXWNKGSJHAJOGX-UHFFFAOYSA-N,1-hexadecanol,C16H34O,44
GLOBsolvent_56,GLOBcomp_819,UYPYRKYUKCHHIB-UHFFFAOYSA-N,trimethylamine oxide,C3H9NO,44
GLOBsolvent_57,GLOBcomp_158,KYCQOKLOSUBEJK-UHFFFAOYSA-M,1-butyl-3-methylimidazolium bromide,C8H15BrN2,41
GLOBsolvent_58,GLOBcomp_434,OKIZCWYLBDKLSU-UHFFFAOYSA-M,tetramethylammonium chloride,C4H12ClN,41
GLOBsolvent_59,GLOBcomp_118,XNWFRZJHXBZDAG-UHFFFAOYSA-N,2-methoxyethan-1-ol,C3H8O2,40
GLOBsolvent_60,GLOBcomp_134,TWRXJAOTZQYOKJ-UHFFFAOYSA-L,magnesium chloride,Cl2Mg,40
GLOBsolvent_61,GLOBcomp_232,DBMJMQXJHONAFJ-UHFFFAOYSA-M,sodium dodecyl sulfate,C12H25NaO4S,39
GLOBsolvent_62,GLOBcomp_91,PMZURENOXWZQFD-UHFFFAOYSA-L,sodium sulfate,Na2O4S,39
GLOBsolvent_63,GLOBcomp_44,DKGAVHZHDRPRBM-UHFFFAOYSA-N,2-methylpropan-2-ol,C4H10O,38
GLOBsolvent_64,GLOBcomp_62,IEJIGPNLZYLLBP-UHFFFAOYSA-N,dimethyl carbonate,C3H6O3,38
GLOBsolvent_65,GLOBcomp_87,JHIVVAPYMSGYDF-UHFFFAOYSA-N,cyclohexanone,C6H10O,37
GLOBsolvent_66,GLOBcomp_110,FRZPYEHDSAQGAS-UHFFFAOYSA-M,1-butyl-3-methylimidazolium trifluoromethanesulfonate,C9H15F3N2O3S,36
GLOBsolvent_67,GLOBcomp_66,JUJWROOIHBZHMG-UHFFFAOYSA-N,pyridine,C5H5N,35
GLOBsolvent_68,GLOBcomp_146,RUOJZAUFBMNUDX-UHFFFAOYSA-N,"4-methyl-1,3-dioxolan-2-one",C4H6O3,33
GLOBsolvent_69,GLOBcomp_198,VWDWKYIASSYTQR-UHFFFAOYSA-N,sodium nitrate,NNaO3,33
GLOBsolvent_70,GLOBcomp_494,CIWBSHSKHKDKBQ-JLAZNSOCSA-N,L-ascorbic acid,C6H8O6,33
GLOBsolvent_71,GLOBcomp_812,RPAYJVFLNVKVRS-UHFFFAOYSA-N,sodium tetraborate,B4Na2O7,32
GLOBsolvent_72,GLOBcomp_99,FHDQNOXQSTVAIC-UHFFFAOYSA-M,1-butyl-3-methylimidazolium chloride,C8H15ClN2,32
GLOBsolvent_73,GLOBcomp_213,AJPJDKMHJJGVTQ-UHFFFAOYSA-M,sodium dihydrogen phosphate,H2NaO4P,31
GLOBsolvent_74,GLOBcomp_369,HWCKGOZZJDHMNC-UHFFFAOYSA-M,tetraethylammonium bromide,C8H20BrN,31
GLOBsolvent_75,GLOBcomp_112,VEXZGXHMUGYJMC-UHFFFAOYSA-N,hydrogen chloride,ClH,30
GLOBsolvent_76,GLOBcomp_313,KRKNYBCHXYNGOX-UHFFFAOYSA-N,citric acid,C6H8O7,30
GLOBsolvent_77,GLOBcomp_567,LFVGISIMTYGQHF-UHFFFAOYSA-N,ammonium dihydrogen phosphate,H6NO4P,30
GLOBsolvent_78,GLOBcomp_160,JRMUNVKIHCOMHV-UHFFFAOYSA-M,tetrabutylammonium bromide,C16H36BrN,29
GLOBsolvent_79,GLOBcomp_64,LRESCJAINPKJTO-UHFFFAOYSA-N,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,C8H11F6N3O4S2,29
GLOBsolvent_80,GLOBcomp_210,HEMHJVSKTPXQMS-UHFFFAOYSA-M,sodium hydroxide,HNaO,28
GLOBsolvent_81,GLOBcomp_530,GGBJHURWWWLEQH-UHFFFAOYSA-N,butylcyclohexane,C10H20,28
GLOBsolvent_82,GLOBcomp_101,NTIZESTWPVYFNL-UHFFFAOYSA-N,4-methylpentan-2-one,C6H12O,27
GLOBsolvent_83,GLOBcomp_241,XLYOFNOQVPJJNP-ZSJDYOACSA-N,water-d2,D2O,27
GLOBsolvent_84,GLOBcomp_431,LZZYPRNAOMGNLH-UHFFFAOYSA-M,"N,N,N-trimethyl-1-hexadecanaminium bromide",C19H42BrN,27
GLOBsolvent_85,GLOBcomp_1216,SWLVFNYSXGMGBS-UHFFFAOYSA-N,ammonium bromide,BrH4N,26
GLOBsolvent_86,GLOBcomp_159,BJHIKXHVCXFQLS-UYFOZJQFSA-N,D-fructose,C6H12O6,26
GLOBsolvent_87,GLOBcomp_176,ZBCBWPMODOFKDW-UHFFFAOYSA-N,diethanolamine,C4H11NO2,26
GLOBsolvent_88,GLOBcomp_261,BGSUDDILQRFOKZ-UHFFFAOYSA-M,3-hexyl-1-methyl-1H-imidazolium bromide,C10H19BrN2,26
GLOBsolvent_89,GLOBcomp_493,BGQMOFGZRJUORO-UHFFFAOYSA-M,tetrapropylammonium bromide,C12H28BrN,26
GLOBsolvent_90,GLOBcomp_639,ZUFQODAHGAHPFQ-UHFFFAOYSA-N,"5-hydroxy-6-methyl-3,4-pyridinedimethanol hydrochloride",C8H12ClNO3,26
GLOBsolvent_91,GLOBcomp_22,AMQJEAYHLZJPGS-UHFFFAOYSA-N,pentan-1-ol,C5H12O,24
GLOBsolvent_92,GLOBcomp_246,VMHLLURERBWHNL-UHFFFAOYSA-M,sodium ethanoate,C2H3NaO2,24
GLOBsolvent_93,GLOBcomp_585,XXMIOPMDWAUFGU-UHFFFAOYSA-N,"1,6-hexanediol",C6H14O2,24
GLOBsolvent_94,GLOBcomp_761,CXRFDZFCGOPDTD-UHFFFAOYSA-M,tetradecyltrimethylammonium bromide,C17H38BrN,24
GLOBsolvent_95,GLOBcomp_8119,YAYSAXSFMQDORM-UHFFFAOYSA-N,"3-(1,1-dihydroxypropyl)-1-methyl-1H-imidazolium nitrate",C7H13N3O5,24
GLOBsolvent_96,GLOBcomp_1399,LFLIOYNYGXICME-UHFFFAOYSA-N,"N,N'-bis(2-pyridinylmethylene)-1,2-ethanediamine",C14H14N4,23
GLOBsolvent_97,GLOBcomp_1605,BYEAHWXPCBROCE-UHFFFAOYSA-N,"1,1,1,3,3,3-hexafluoro-2-propanol",C3H2F6O,23
GLOBsolvent_98,GLOBcomp_162,LYGJENNIWJXYER-UHFFFAOYSA-N,nitromethane,CH3NO2,23
GLOBsolvent_99,GLOBcomp_375,SCVFZCLFOSHCOH-UHFFFAOYSA-M,potassium ethanoate,C2H3KO2,23
GLOBsolvent_100,GLOBcomp_46,KXKVLQRXCPHEJC-UHFFFAOYSA-N,methyl ethanoate,C3H6O2,23
GLOBsolvent_101,GLOBcomp_169,WERYXYBDKMZEQL-UHFFFAOYSA-N,"1,4-butanediol",C4H10O2,22
GLOBsolvent_102,GLOBcomp_290,FBPFZTCFMRRESA-JGWLITMVSA-N,D-sorbitol,C6H14O6,22
GLOBsolvent_103,GLOBcomp_425,GZCGUPFRVQAUEE-KVTDHHQDSA-N,D-mannose,C6H12O6,22
GLOBsolvent_104,GLOBcomp_502,KWIUHFFTVRNATP-UHFFFAOYSA-N,(trimethylammonio)acetate,C5H11NO2,22
GLOBsolvent_105,GLOBcomp_113,ZIBGPFATKBEMQZ-UHFFFAOYSA-N,triethylene glycol,C6H14O4,21
GLOBsolvent_106,GLOBcomp_168,OTYBMLCTZGSZBG-UHFFFAOYSA-L,potassium sulfate,K2O4S,21
GLOBsolvent_107,GLOBcomp_224,LWIHDJKSTIGBAC-UHFFFAOYSA-K,tripotassium phosphate,K3O4P,21
GLOBsolvent_108,GLOBcomp_2663,NGODQOAMHQTQTQ-UHFFFAOYSA-N,1-octylpyridinium nitrate,C13H22N2O3,21
GLOBsolvent_109,GLOBcomp_268,HNJBEVLQSNELDL-UHFFFAOYSA-N,2-pyrrolidinone,C4H7NO,21
GLOBsolvent_110,GLOBcomp_337,GHVNFZFCNZKVNT-UHFFFAOYSA-N,decanoic acid,C10H20O2,21
GLOBsolvent_111,GLOBcomp_37,NHTMVDHEPJAVLT-UHFFFAOYSA-N,"2,2,4-trimethylpentane",C8H18,21
GLOBsolvent_112,GLOBcomp_377,XJWSAJYUBXQQDR-UHFFFAOYSA-M,dodecyltrimethylammonium bromide,C15H34BrN,21
GLOBsolvent_113,GLOBcomp_43,SNRUBQQJIBEYMU-UHFFFAOYSA-N,dodecane,C12H26,21
GLOBsolvent_114,GLOBcomp_458,OKIYQFLILPKULA-UHFFFAOYSA-N,1-methoxy-nonafluorobutane,C5H3F9O,21
GLOBsolvent_115,GLOBcomp_52,ZAFNJMIOTHYJRJ-UHFFFAOYSA-N,diisopropyl ether,C6H14O,21
GLOBsolvent_116,GLOBcomp_528,DJXNLVJQMJNEMN-UHFFFAOYSA-N,methyl nonafluoroisobutyl ether,C5H3F9O,21
GLOBsolvent_117,GLOBcomp_881,LESUBZNRBDUXOH-UHFFFAOYSA-N,1-butylpyridinium nitrate,C9H14N2O3,21
GLOBsolvent_118,GLOBcomp_140,ZNQVEEAIQZEUHB-UHFFFAOYSA-N,2-ethoxyethan-1-ol,C4H10O2,20
GLOBsolvent_119,GLOBcomp_170,LQNUZADURLCDLV-UHFFFAOYSA-N,nitrobenzene,C6H5NO2,20
GLOBsolvent_120,GLOBcomp_187,BFNBIHQBYMNNAN-UHFFFAOYSA-N,ammonium sulfate,H8N2O4S,20
GLOBsolvent_121,GLOBcomp_220,ROHFNLRQFUQHCH-YFKPBYRVSA-N,L-leucine,C6H13NO2,20
GLOBsolvent_122,GLOBcomp_256,HEBKCHPVOIAQTA-SCDXWVJYSA-N,xylitol,C5H12O5,20
GLOBsolvent_123,GLOBcomp_270,HRXKRNGNAMMEHJ-UHFFFAOYSA-K,trisodium citrate,C6H5Na3O7,20
GLOBsolvent_124,GLOBcomp_351,FBPFZTCFMRRESA-KVTDHHQDSA-N,D-mannitol,C6H14O6,20
GLOBsolvent_125,GLOBcomp_56,RCNFOZUBFOFJKZ-UHFFFAOYSA-N,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,C12H19F6N3O4S2,20
GLOBsolvent_126,GLOBcomp_68,VRFOKYHDLYBVAL-UHFFFAOYSA-M,1-ethyl-3-methylimidazolium ethyl sulfate,C8H16N2O4S,20
GLOBsolvent_127,GLOBcomp_698,DPJRMOMPQZCRJU-UHFFFAOYSA-M,thiamine hydrochloride,C12H18Cl2N4OS,20
