quantity_key,preferred_name,component_linked,available_roles,role_count,translation_status,equivalence_basis,prop_num_id,prop_name,prop_group,var_num_id,var_name,var_type_key,constr_num_id,constr_name,constr_type_key
eutectic_temperature_k,"Eutectic temperature, K",0,property,1,single_role,exact_canonical_template,GLOBprop_31,"Eutectic temperature, K",PhaseTransition,,,,,,
excess_molar_enthalpy_molar_enthalpy_of_mixing_kj_mol,"Excess molar enthalpy (molar enthalpy of mixing), kJ/mol",0,property,1,single_role,exact_canonical_template,GLOBprop_17,"Excess molar enthalpy (molar enthalpy of mixing), kJ/mol",ExcessPartialApparentEnergyProp,,,,,,
excess_molar_gibbs_energy_kj_mol,"Excess molar Gibbs energy, kJ/mol",0,property,1,single_role,exact_canonical_template,GLOBprop_97,"Excess molar Gibbs energy, kJ/mol",ExcessPartialApparentEnergyProp,,,,,,
excess_molar_heat_capacity_j_k_mol,"Excess molar heat capacity, J/K/mol",0,property,1,single_role,exact_canonical_template,GLOBprop_85,"Excess molar heat capacity, J/K/mol",ExcessPartialApparentEnergyProp,,,,,,
excess_molar_volume_m3_mol,"Excess molar volume, m3/mol",0,property,1,single_role,exact_canonical_template,GLOBprop_28,"Excess molar volume, m3/mol",VolumetricProp,,,,,,
final_mass_fraction_of_solute,Final mass fraction of solute,0,constraint,1,single_role,exact_canonical_template,,,,,,,GLOBconstr_25,Final mass fraction of solute,eComponentComposition
final_molality_of_solute_mol_kg,"Final molality of solute, mol/kg",0,variable|constraint,2,cross_role_exact,exact_canonical_template,,,,GLOBvar_12,"Final molality of solute, mol/kg",eComponentComposition,GLOBconstr_16,"Final molality of solute, mol/kg",eComponentComposition
final_mole_fraction_of_solute,Final mole fraction of solute,0,variable,1,single_role,exact_canonical_template,,,,GLOBvar_31,Final mole fraction of solute,eComponentComposition,,,
frequency_mhz,"Frequency, MHz",0,variable|constraint,2,cross_role_exact,exact_canonical_template,,,,GLOBvar_17,"Frequency, MHz",eMiscellaneous,GLOBconstr_4,"Frequency, MHz",eMiscellaneous
fugacity_coefficient_{DOIcomp_id},Fugacity coefficient,1,property,1,single_role,exact_canonical_template,GLOBprop_73,Fugacity coefficient,ActivityFugacityOsmoticProp,,,,,,
heat_capacity_at_constant_pressure_per_volume_j_k_m3,"Heat capacity at constant pressure per volume, J/K/m3",0,property,1,single_role,exact_canonical_template,GLOBprop_63,"Heat capacity at constant pressure per volume, J/K/m3",HeatCapacityAndDerivedProp,,,,,,
henrys_law_constant_amount_concentration_scale_kpa_dm3_mol_{DOIcomp_id},"Henry's Law constant (amount concentration scale), kPa*dm3/mol",1,property,1,single_role,exact_canonical_template,GLOBprop_69,"Henry's Law constant (amount concentration scale), kPa*dm3/mol",CompositionAtPhaseEquilibrium,,,,,,
henrys_law_constant_molality_scale_kpa_kg_mol_{DOIcomp_id},"Henry's Law constant (molality scale), kPa*kg/mol",1,property,1,single_role,exact_canonical_template,GLOBprop_55,"Henry's Law constant (molality scale), kPa*kg/mol",CompositionAtPhaseEquilibrium,,,,,,
