quantity_key,preferred_name,component_linked,available_roles,role_count,translation_status,equivalence_basis,prop_num_id,prop_name,prop_group,var_num_id,var_name,var_type_key,constr_num_id,constr_name,constr_type_key
specific_internal_energy_of_reaction_at_constant_volume_j_g,"Specific internal energy of reaction at constant volume, J/g",0,property,1,single_role,exact_canonical_template,GLOBprop_24,"Specific internal energy of reaction at constant volume, J/g",ReactionStateChangeProp,,,,,,
specific_volume_m3_kg,"Specific volume, m3/kg",0,property|variable,2,cross_role_exact,exact_canonical_template,GLOBprop_74,"Specific volume, m3/kg",VolumetricProp,GLOBvar_34,"Specific volume, m3/kg",eMiscellaneous,,,
speed_of_sound_m_s,"Speed of sound, m/s",0,property,1,single_role,exact_canonical_template,GLOBprop_8,"Speed of sound, m/s",RefractionSurfaceTensionSoundSpeed,,,,,,
surface_tension_liquidgas_n_m,"Surface tension liquid-gas, N/m",0,property,1,single_role,exact_canonical_template,GLOBprop_13,"Surface tension liquid-gas, N/m",RefractionSurfaceTensionSoundSpeed,,,,,,
temperature_k,"Temperature, K",0,variable|constraint,2,cross_role_exact,exact_canonical_template,,,,GLOBvar_1,"Temperature, K",eTemperature,GLOBconstr_2,"Temperature, K",eTemperature
thermal_conductivity_w_m_k,"Thermal conductivity, W/m/K",0,property,1,single_role,exact_canonical_template,GLOBprop_34,"Thermal conductivity, W/m/K",TransportProp,,,,,,
thermal_diffusivity_m2_s,"Thermal diffusivity, m2/s",0,property,1,single_role,exact_canonical_template,GLOBprop_52,"Thermal diffusivity, m2/s",TransportProp,,,,,,
thermal_pressure_coefficient_kpa_k,"Thermal pressure coefficient, kPa/K",0,property,1,single_role,exact_canonical_template,GLOBprop_101,"Thermal pressure coefficient, kPa/K",VolumetricProp,,,,,,
thermodynamic_equilibrium_constant,Thermodynamic equilibrium constant,0,property,1,single_role,exact_canonical_template,GLOBprop_60,Thermodynamic equilibrium constant,ReactionEquilibriumProp,,,,,,
tracer_diffusion_coefficient_m2_s_{DOIcomp_id},"Tracer diffusion coefficient, m2/s",1,property,1,single_role,exact_canonical_template,GLOBprop_71,"Tracer diffusion coefficient, m2/s",TransportProp,,,,,,
triple_point_temperature_k,"Triple point temperature, K",0,property,1,single_role,exact_canonical_template,GLOBprop_16,"Triple point temperature, K",PhaseTransition,,,,,,
upper_consolute_composition_mole_fraction_{DOIcomp_id},Upper consolute composition: mole fraction,1,property,1,single_role,exact_canonical_template,GLOBprop_76,Upper consolute composition: mole fraction,CompositionAtPhaseEquilibrium,,,,,,
upper_consolute_pressure_kpa,"Upper consolute pressure, kPa",0,property,1,single_role,exact_canonical_template,GLOBprop_102,"Upper consolute pressure, kPa",Criticals,,,,,,
upper_consolute_temperature_k,"Upper consolute temperature, K",0,property,1,single_role,exact_canonical_template,GLOBprop_57,"Upper consolute temperature, K",Criticals,,,,,,
upper_temperature_k,"Upper temperature, K",0,variable,1,single_role,exact_canonical_template,,,,GLOBvar_28,"Upper temperature, K",eTemperature,,,
vapor_or_sublimation_pressure_kpa,"Vapor or sublimation pressure, kPa",0,property,1,single_role,exact_canonical_template,GLOBprop_5,"Vapor or sublimation pressure, kPa",VaporPBoilingTAzeotropTandP,,,,,,
viscosity_pa_s,"Viscosity, Pa*s",0,property,1,single_role,exact_canonical_template,GLOBprop_4,"Viscosity, Pa*s",TransportProp,,,,,,
volume_fraction_{DOIcomp_id},Volume fraction,1,property|variable|constraint,3,cross_role_exact,exact_canonical_template,GLOBprop_103,Volume fraction,CompositionAtPhaseEquilibrium,GLOBvar_18,Volume fraction,eComponentComposition,GLOBconstr_22,Volume fraction,eComponentComposition
volume_ratio_of_solute_to_solvent_{DOIcomp_id},Volume ratio of solute to solvent,1,variable,1,single_role,exact_canonical_template,,,,GLOBvar_35,Volume ratio of solute to solvent,eComponentComposition,,,
wavelength_nm,"Wavelength, nm",0,variable|constraint,2,cross_role_exact,exact_canonical_template,,,,GLOBvar_22,"Wavelength, nm",eMiscellaneous,GLOBconstr_9,"Wavelength, nm",eMiscellaneous
