meas_num_id,meas_id,method_name,method_type,n_blocks,n_aliases
GLOBmeas_79,coaxial_cylinder_method,Coaxial cylinder method,standard,36,1
GLOBmeas_80,parallel_plate_method,Parallel plate method,standard,34,1
GLOBmeas_81,burnett_expansion_method,Burnett expansion method,standard,31,1
GLOBmeas_82,nmr_spin_echo_technique,NMR spin-echo technique,standard,30,1
GLOBmeas_83,open_capillary,Open capillary,standard,30,1
GLOBmeas_84,by_t_x_extreme,By T(X) extreme,standard,29,1
GLOBmeas_85,differential_ebulliometry,Differential ebulliometry,standard,29,1
GLOBmeas_86,torsion_effusion_method,Torsion effusion method,standard,26,1
GLOBmeas_87,by_p_x_extreme,By P(X) extreme,standard,25,1
GLOBmeas_88,isothermal_displacement,Isothermal displacement,standard,22,1
GLOBmeas_89,derived_analytically,Derived analytically,standard,19,1
GLOBmeas_90,dispersion,Dispersion,standard,18,1
GLOBmeas_91,chemical_equilibration_heterogeneous_equilibration,Chemical equilibration / Heterogeneous equilibration,standard,17,1
GLOBmeas_92,reentrant_cavity_resonator,Reentrant cavity resonator,standard,16,2
GLOBmeas_93,light_diffraction_method,Light diffraction method,standard,14,1
GLOBmeas_94,derived_from_speed_of_sound,Derived from speed of sound,standard,13,2
GLOBmeas_95,inclined_piston_gauge,Inclined piston gauge,standard,13,1
GLOBmeas_96,optical_method,Optical method,standard,12,2
GLOBmeas_97,hot_disk_method,Hot disk method,standard,11,1
GLOBmeas_98,optical_interferometry,Optical interferometry,standard,11,1
GLOBmeas_99,speed_of_sound_calibration_data,Speed of sound calibration data,standard,11,1
GLOBmeas_100,levitation_methods,Levitation methods,standard,10,1
GLOBmeas_101,differential_flow_calorimetry,Differential flow calorimetry,standard,9,1
GLOBmeas_102,spherical_resonator,Spherical resonator,standard,9,1
GLOBmeas_103,voltage_change_across_transformer_no_electrode,Voltage change across transformer (no electrode),standard,9,1
GLOBmeas_104,cylindrical_cavity_resonance_method,Cylindrical cavity resonance method,standard,8,1
GLOBmeas_105,derived_graphically,Derived graphically,standard,8,1
GLOBmeas_106,drop_ice_or_diphenyl_ether_calorimetry,Drop ice or diphenyl ether calorimetry,standard,8,1
GLOBmeas_107,laser_pulse_heating,Laser pulse heating,standard,8,1
GLOBmeas_108,thin_film_microcalorimeter,Thin-film microcalorimeter,standard,8,1
GLOBmeas_109,dual_path_length_method,Dual path-length method,standard,7,1
GLOBmeas_110,dynamic_equilibration,Dynamic equilibration,standard,6,1
GLOBmeas_111,mass_spectrometry,Mass-spectrometry,standard,6,1
GLOBmeas_112,spherical_cavity_resonance_method,Spherical cavity resonance method,standard,6,1
GLOBmeas_113,ac_calorimetry,AC calorimetry,standard,5,1
GLOBmeas_114,isoteniscope,Isoteniscope,standard,5,1
GLOBmeas_115,rectilinear_diameter,Rectilinear diameter,standard,5,1
GLOBmeas_116,sessile_drop,Sessile Drop,standard,5,1
GLOBmeas_117,volume_change,Volume change,standard,5,1
