comp_num_id,comp_id,inchi_key,common_name,formula,smiles,standard_inchi,n_papers
GLOBcomp_4768,3-(2-cyanoethyl)-1-octylimidazolium_decylsulfate,IALMQKWRZQKYQD-UHFFFAOYSA-M,3-(2-cyanoethyl)-1-octylimidazolium decylsulfate,C24H45N3O4S,CCCCCCCCCCOS(=O)(=O)[O-].CCCCCCCC[n+]1ccn(CCC#N)c1,"InChI=1S/C14H24N3.C10H22O4S/c1-2-3-4-5-6-7-10-16-12-13-17(14-16)11-8-9-15;1-2-3-4-5-6-7-8-9-10-14-15(11,12)13/h12-14H,2-8,10-11H2,1H3;2-10H2,1H3,(H,11,12,13)/q+1;/p-1",1
GLOBcomp_4769,3-phenyl-1-(3-phenyl-1-propoxypropoxy)propan-1-ol,IALXGVIKVSTTOQ-UHFFFAOYSA-N,3-phenyl-1-(3-phenyl-1-propoxypropoxy)propan-1-ol,C21H28O3,CCCOC(CCc1ccccc1)OC(O)CCc1ccccc1,"InChI=1S/C21H28O3/c1-2-17-23-21(16-14-19-11-7-4-8-12-19)24-20(22)15-13-18-9-5-3-6-10-18/h3-12,20-22H,2,13-17H2,1H3",1
GLOBcomp_4770,"n,n,n-triethyloctanaminium_bis(fluorosulfonyl)amide",IAOGBHNVDOABCO-UHFFFAOYSA-N,"N,N,N-triethyloctanaminium bis(fluorosulfonyl)amide",C14H32F2N2O4S2,CCCCCCCC[N+](CC)(CC)CC.O=S(=O)(F)[N-]S(=O)(=O)F,"InChI=1S/C14H32N.F2NO4S2/c1-5-9-10-11-12-13-14-15(6-2,7-3)8-4;1-8(4,5)3-9(2,6)7/h5-14H2,1-4H3;/q+1;-1",1
GLOBcomp_4771,l-aspartame,IAOZJIPTCAWIRG-QWRGUYRKSA-N,L-Aspartame,C14H18N2O5,COC(=O)[C@H](Cc1ccccc1)N=C(O)[C@@H](N)CC(=O)O,"InChI=1S/C14H18N2O5/c1-21-14(20)11(7-9-5-3-2-4-6-9)16-13(19)10(15)8-12(17)18/h2-6,10-11H,7-8,15H2,1H3,(H,16,19)(H,17,18)/t10-,11-/m0/s1",1
GLOBcomp_4772,lithium_acetate-d3_di(hydrate-d2),IAQLJCYTGRMXMA-FPDYQYSTSA-M,lithium acetate-d3 di(hydrate-d2),C2D7LiO4,[2H]C([2H])([2H])C(=O)[O-].[2H]O[2H].[2H]O[2H].[Li+],"InChI=1S/C2H4O2.Li.2H2O/c1-2(3)4;;;/h1H3,(H,3,4);;2*1H2/q;+1;;/p-1/i1D3;;;/hD4",1
GLOBcomp_4773,"3,6-dinitro-9h-carbazole",IARXLBTXILYASE-UHFFFAOYSA-N,"3,6-dinitro-9H-carbazole",C12H7N3O4,O=[N+]([O-])c1ccc2[nH]c3ccc([N+](=O)[O-])cc3c2c1,"InChI=1S/C12H7N3O4/c16-14(17)7-1-3-11-9(5-7)10-6-8(15(18)19)2-4-12(10)13-11/h1-6,13H",1
GLOBcomp_4774,strontium_oxide_(sro),IATRAKWUXMZMIY-UHFFFAOYSA-N,strontium oxide (SrO),OSr,[O-2].[Sr+2],InChI=1S/O.Sr/q-2;+2,1
GLOBcomp_4775,isobornyl_methacrylate,IAXXETNIOYFMLW-UHFFFAOYSA-N,isobornyl methacrylate,C14H22O2,C=C(C)C(=O)OC1CC2CCC1(C)C2(C)C,"InChI=1S/C14H22O2/c1-9(2)12(15)16-11-8-10-6-7-14(11,5)13(10,3)4/h10-11H,1,6-8H2,2-5H3",1
GLOBcomp_4776,2-pyridinecarboxamide,IBBMAWULFFBRKK-UHFFFAOYSA-N,2-pyridinecarboxamide,C6H6N2O,N=C(O)c1ccccn1,"InChI=1S/C6H6N2O/c7-6(9)5-3-1-2-4-8-5/h1-4H,(H2,7,9)",1
GLOBcomp_4777,phenylphosphonic_dichloride,IBDMRHDXAQZJAP-UHFFFAOYSA-N,phenylphosphonic dichloride,C6H5Cl2OP,O=P(Cl)(Cl)c1ccccc1,"InChI=1S/C6H5Cl2OP/c7-10(8,9)6-4-2-1-3-5-6/h1-5H",1
GLOBcomp_4778,1-butyl-2-phenylimidazolium_bis(trifluoromethylsulfonyl)imide,IBEKEHXKJXTRMM-UHFFFAOYSA-O,1-butyl-2-phenylimidazolium bis(trifluoromethylsulfonyl)imide,C15H17F6N3O4S2,CCCCn1cc[nH+]c1-c1ccccc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"InChI=1S/C13H16N2.C2F6NO4S2/c1-2-3-10-15-11-9-14-13(15)12-7-5-4-6-8-12;3-1(4,5)14(10,11)9-15(12,13)2(6,7)8/h4-9,11H,2-3,10H2,1H3;/q;-1/p+1",1
GLOBcomp_4779,"6-(4-chlorophenyl)-4-(4-hydroxy-3-methoxyphenyl)-2-oxo-1,2-dihydropyridine-3-carbonitrile",IBKMRGAZRIFOIV-UHFFFAOYSA-N,"6-(4-chlorophenyl)-4-(4-hydroxy-3-methoxyphenyl)-2-oxo-1,2-dihydropyridine-3-carbonitrile",C19H13ClN2O3,COc1cc(-c2cc(-c3ccc(Cl)cc3)nc(O)c2C#N)ccc1O,"InChI=1S/C19H13ClN2O3/c1-25-18-8-12(4-7-17(18)23)14-9-16(22-19(24)15(14)10-21)11-2-5-13(20)6-3-11/h2-9,23H,1H3,(H,22,24)",1
GLOBcomp_4780,"1h-imidazolium,_3,3'-(1,6-hexanediyl)bis[1-methyl-,_sulfate_(1:2)",IBMAZPULUOXLHQ-UHFFFAOYSA-L,"1H-imidazolium, 3,3'-(1,6-hexanediyl)bis[1-methyl-, sulfate (1:2)",C14H26N4O8S2,C[n+]1ccn(CCCCCCn2cc[n+](C)c2)c1.O=S(=O)(O)O.O=S(=O)([O-])[O-],"InChI=1S/C14H24N4.2H2O4S/c1-15-9-11-17(13-15)7-5-3-4-6-8-18-12-10-16(2)14-18;2*1-5(2,3)4/h9-14H,3-8H2,1-2H3;2*(H2,1,2,3,4)/q+2;;/p-2",1
GLOBcomp_4781,2-chloronicotinic_acid,IBRSSZOHCGUTHI-UHFFFAOYSA-N,2-chloronicotinic acid,C6H4ClNO2,O=C(O)c1cccnc1Cl,"InChI=1S/C6H4ClNO2/c7-5-4(6(9)10)2-1-3-8-5/h1-3H,(H,9,10)",1
GLOBcomp_4782,"2,6-dimethoxypyridine",IBTGEEMBZJBBSH-UHFFFAOYSA-N,"2,6-dimethoxypyridine",C7H9NO2,COc1cccc(OC)n1,"InChI=1S/C7H9NO2/c1-9-6-4-3-5-7(8-6)10-2/h3-5H,1-2H3",1
GLOBcomp_4783,4-cyano-3-fluorophenyl_4-butylbenzoate,IBUUMDHMTARCSQ-UHFFFAOYSA-N,4-cyano-3-fluorophenyl 4-butylbenzoate,C18H16FNO2,CCCCc1ccc(C(=O)Oc2ccc(C#N)c(F)c2)cc1,"InChI=1S/C18H16FNO2/c1-2-3-4-13-5-7-14(8-6-13)18(21)22-16-10-9-15(12-20)17(19)11-16/h5-11H,2-4H2,1H3",1
